"animal_species","proboscis_length","head_width","forewing_index","forewing_length","body_length","itd"
"Ochreriades sp.1",1.474,1.478,0.528,3.95,7.48,1.26
"Othiosmia sp.1",1.444,1.912,0.491,4.226,8.6,1.611
"Othiosmia sp.2",1.62,1.64,0.509,3.65,7.166,1.16
"Othiosmia sp.3",1.42,1.72,0.487,3.9,8.015,1.44
"Pachymelus sp.2",5,4.7,0.705,10,14.179,4.3
"Pandasyophthalmus sp.",0.456,1.632,0.751,3.73,4.97,NA
"Paragus borbonicus",0.406,1.788,0.907,4.53,4.995,NA
"Paragus cf. paulyi",0.415,1.398,0.792,3.387,4.275,NA
"Paragus longiventris",0.411,1.623,0.794,4.48,5.64,NA
"Paragus minutus",0.26,1.56,0.815,3.85,4.725,NA
"Paragus naso",0.383,1.524,0.787,3.784,4.809,NA
"Paragus tibialis agg.",0.48,1.68,0.755,4,5.3,NA
"Patellapis sp.12",0.3,2.02,0.642,5.5,8.574,1.64
"Patellapis sp.14",0.36,2.075,0.721,6.1,8.465,1.6
"Patellapis sp.17",0.462,2.085,0.631,5.382,8.53,1.624
"Patellapis sp.18",0.424,2.075,0.645,5.501,8.527,1.623
"Phytomia bulligera",0.878,3.985,0.866,8.99,10.384,NA
"Phytomia erratica",0.5,4.6,0.695,8.507,12.239,NA
"Phytomia incisa",1.56,5.4,0.767,11.5,15,NA
"Plebeina hildebrandti",1.406,2.104,0.569,4.9,8.606,1.652
"Pompilidae sp.19",0.429,1.36,0.84,3.95,4.7,0.82
"Pompilidae sp.28",0.979,2.325,0.783,7.2,9.2,1.26
"Pompilidae sp.30",0.759,1.97,0.86,7.5,8.72,1.45
"Pseudapis sp.1",0.933,2.643,0.646,5.988,9.275,1.909
"Pseudapis sp.2",0.967,2.822,0.627,5.8,9.252,1.9
"Pseudapis sp.3",0.967,2.533,0.622,5.624,9.041,1.817
"Pseudoanthidium truncatum",2.188,3.15,0.545,6.2,11.379,2.833
"Pseudodoros nigricollis",0.28,1.46,0.923,6,6.5,NA
"Rhingia caerulescens",0.69,3.044,1.198,8.73,7.29,NA
"Rhingia cyanoprora",0.16,1.52,1.118,4.75,4.25,NA
"Rhingia mecyana",0.69,3.044,1.198,8.73,7.29,NA
"Rhingia trivittata",0.867,3.425,1.208,9.725,8.05,NA
"Scoliidae sp.1",0.45,2.75,0.717,8,11.15,2.263
"Simoides crassipes",0.727,3.717,0.821,8.5,10.35,NA
"Sphaerophoria rueppellii",0.495,1.65,0.787,4.8,6.1,NA
"Sphecidae sp.1",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.13",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.14",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.16",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.26",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.8",2.667,3.45,0.536,11.8,22,1.56
"Sphecidae sp.9",2.667,3.45,0.536,11.8,22,1.56
"Sphecodes sp.1",0.237,2.175,0.685,5.543,8.09,1.466
"Steganomus sp.1",1.275,2.725,0.506,5.2,10.272,2.325
"Syritta albopilosa",0.54,2,0.615,4.8,7.8,NA
"Syritta bulbus",0.6,2.05,0.746,5.3,7.1,NA
"Syritta flaviventris",0.44,2,0.65,5.2,8,NA
"Syritta stigmatica",0.563,2.256,0.772,6.338,8.213,NA
"Tetralonia cf. vansoni/inermis",3.14,4.08,0.752,8.051,10.706,3.383
"Tetraloniella inermis",2.25,3.7,0.788,8.4,10.665,2.5
"Tetraloniella junodi",2.325,3.333,0.698,7.6,10.884,2.6
"Thyreus calceatus",1.653,3.103,0.753,8.433,11.192,2.744
"Thyreus delumbatus",2.889,3.35,0.823,7.817,9.5,3
"Thyreus tschoffeni",0.64,3.3,0.785,8.6,10.955,2.633
"Tiphiidae sp.6",0.439,1.38,0.635,4.7,7.4,1.06
"Tiphiidae sp.9",0.845,2.113,0.557,6.05,10.86,NA
"Vespidae sp.1",1.16,2.689,0.887,7.967,8.98,2.097
"Vespidae sp.10",1.461,3.017,0.782,11.008,14.075,2.556
"Vespidae sp.11",1.232,2.7,0.819,7.1,8.67,1.988
"Vespidae sp.16",0.923,2.238,0.73,6.85,9.38,1.64
"Vespidae sp.18",0.3,2.1,0.764,6.8,8.9,1.4
"Vespidae sp.19",1.255,2.733,1.026,9.4,9.16,2.075
"Vespidae sp.2",1.292,2.784,0.832,7.3,8.77,2.163
"Vespidae sp.22",0.3,2.125,0.514,7.4,14.4,1.34
"Vespidae sp.26",1.02,3.513,0.71,16.603,23.381,2.792
"Vespidae sp.27",1.753,3.863,0.76,15.8,20.794,2.959
"Vespidae sp.4",0.786,2.721,0.778,9.913,12.742,2.122
"Vespidae sp.7",0.31,1.906,0.845,6.913,8.185,1.519
"Wainia sp.1",1.955,2.08,0.639,5.2,8.141,1.484
"Xylocopa caffra",5.244,5.833,0.899,15.733,17.5,6.133
"Xylocopa flavicollis",3,5.6,0.926,13.7,14.8,5.2
"Xylocopa lugubris",2.5,5.3,0.86,12.5,14.543,4.55
"Xylocopa scioensis",2.9,4.6,1.002,12.779,12.75,4.4
"Xylocopa somalica",3,6,0.923,14.8,16.043,5.5
