	body_length	proboscis_length	proboscis_width	body_width	body_thickness
tep.sp1	NA	NA	NA	10	8
tep.sp2	NA	NA	NA	10	6
thy.sp1	1,125	1,65	41	45,5	13,825
tox.sp1	9,3	NA	NA	31	28
tri.lat	16,9	12,76	42,8	90	5,42
tri.sp2	NA	10	33	81	NA
vill.sp1	10,16	3,7	9,2	61,4	2,75
wil.cha	17,9	4,85	46,75	94,75	5,825
xyl.aug	27,5	9	54,75	65,75	64,75
xyl.ord	23,84	8,86	56,6	103,6	7,74
xyl.spl	16	6,066666667	48	96	5,866666667
zet.sp1	4,6125	2,015	75,6	73,2	53,6
