site	visit	urban	urban_ord	julian_day	day_square	family	genus	plant	insect	p_species	i_species
COUB	2	high	c	110	12100	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	2	high	c	110	12100	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	2	high	c	110	12100	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.lap	Vicia sativa	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	lot.c	b.lap	Lotus corniculatus	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.pas	Centaurea jacea	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.pas	Centaurea jacea	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.pas	Vicia sativa	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	sil.l	b.pas	Silene latifolia	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	cen.j	b.pas	Centaurea jacea	Bombus pascuorum
COUB	3	high	c	131	17161	apidae	bombus	vic.s	b.ter	Vicia sativa	Bombus terrestris
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.hor	Centaurea jacea	Bombus hortorum
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	leu.v	b.lap	Leucanthemum vulgare	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	mal.m	b.lap	Malva moschata	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	ger.p	b.lap	Geranium pyrenaicum	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	ger.p	b.lap	Geranium pyrenaicum	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.pas	Centaurea jacea	Bombus pascuorum
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.pra	Centaurea jacea	Bombus pratorum
COUB	4	high	c	145	21025	apidae	bombus	ger.p	b.pra	Geranium pyrenaicum	Bombus pratorum
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.pra	Centaurea jacea	Bombus pratorum
COUB	4	high	c	145	21025	apidae	bombus	cen.j	b.ter	Centaurea jacea	Bombus terrestris
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.pra	Centaurea jacea	Bombus pratorum
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.ter	Centaurea jacea	Bombus terrestris
COUB	5	high	c	158	24964	apidae	bombus	cen.j	b.ter	Centaurea jacea	Bombus terrestris
COUB	5	high	c	158	24964	apidae	bombus	ach.m	b.ter	Achillea millefolium	Bombus terrestris
COUB	6	high	c	171	29241	apidae	bombus	cen.j	b.lap	Centaurea jacea	Bombus lapidarius
COUB	6	high	c	171	29241	apidae	bombus	arc.l 	b.lap	Arctium lappa	Bombus lapidarius
COUB	6	high	c	171	29241	apidae	bombus	arc.l 	b.lap	Arctium lappa	Bombus lapidarius
COUB	6	high	c	171	29241	apidae	bombus	arc.l 	b.ter	Arctium lappa	Bombus terrestris
SANT	1	low	a	95	9025	apidae	apis	NA	NA	NA	NA
SANT	2	low	a	114	12996	apidae	apis	NA	NA	NA	NA
SANT	3	low	a	129	16641	apidae	apis	NA	NA	NA	NA
SANT	4	low	a	142	20164	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
SANT	5	low	a	156	24336	apidae	apis	NA	NA	NA	NA
SANT	6	low	a	170	28900	apidae	apis	NA	NA	NA	NA
MOSA	1	low	a	95	9025	apidae	apis	NA	NA	NA	NA
MOSA	2	low	a	114	12996	apidae	apis	NA	NA	NA	NA
MOSA	3	low	a	129	16641	apidae	apis	NA	NA	NA	NA
MOSA	4	low	a	142	20164	apidae	apis	vic.s	a.mel	Vicia sativa	Apis mellifera
MOSA	4	low	a	142	20164	apidae	apis	vic.s	a.mel	Vicia sativa	Apis mellifera
MOSA	4	low	a	142	20164	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
MOSA	5	low	a	156	24336	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
MOSA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	1	low	a	95	9025	apidae	apis	NA	NA	NA	NA
LACA	2	low	a	114	12996	apidae	apis	NA	NA	NA	NA
LACA	3	low	a	129	16641	apidae	apis	NA	NA	NA	NA
LACA	4	low	a	142	20164	apidae	apis	NA	NA	NA	NA
LACA	5	low	a	156	24336	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	5	low	a	156	24336	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	lot.c	a.mel	Lotus corniculatus	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
LACA	6	low	a	170	28900	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CITA	1	low	a	97	9409	apidae	apis	tar.r	a.mel	Taraxacum sect. Ruderalia	Apis mellifera
CITA	2	low	a	126	15876	apidae	apis	bel.p	a.mel	Bellis perennis	Apis mellifera
CITA	3	low	a	136	18496	apidae	apis	NA	NA	NA	NA
CITA	4	low	a	151	22801	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CITA	4	low	a	151	22801	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	5	low	a	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	ach.m	a.mel	Achillea millefolium	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	tri.p	a.mel	Trifolium pratense	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cir.a	a.mel	Cirsium arvense 	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
CITA	6	low	a	180	32400	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BETH	1	medium	b	104	10816	apidae	apis	tar.r	a.mel	Taraxacum sect. Ruderalia	Apis mellifera
BETH	2	medium	b	NA	NA	apidae	apis	NA	NA	NA	NA
BETH	3	medium	b	130	16900	apidae	apis	NA	NA	NA	NA
BETH	4	medium	b	143	20449	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BETH	4	medium	b	143	20449	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BETH	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	4	medium	b	143	20449	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
BETH	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BETH	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	1	medium	b	97	9409	apidae	apis	tar.r	a.mel	Taraxacum sect. Ruderalia	Apis mellifera
CHUR	1	medium	b	97	9409	apidae	apis	tar.r	a.mel	Taraxacum sect. Ruderalia	Apis mellifera
CHUR	2	medium	b	126	15876	apidae	apis	NA	NA	NA	NA
CHUR	3	medium	b	136	18496	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	4	medium	b	151	22801	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	con.a	a.mel	Convolvulus arvensis	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	tri.r	a.mel	Trifolium repens	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	5	medium	b	165	27225	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	6	medium	b	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	6	medium	b	180	32400	apidae	apis	hyp.r	a.mel	Hypochaeris radicata	Apis mellifera
CHUR	6	medium	b	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
CHUR	6	medium	b	180	32400	apidae	apis	con.a	a.mel	Convolvulus arvensis	Apis mellifera
CHUR	6	medium	b	180	32400	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	1	medium	b	104	10816	apidae	apis	NA	NA	NA	NA
BERG	2	medium	b	NA	NA	apidae	apis	NA	NA	NA	NA
BERG	3	medium	b	130	16900	apidae	apis	NA	NA	NA	NA
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	4	medium	b	143	20449	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	5	medium	b	159	25281	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	con.a	a.mel	Convolvulus arvensis	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	con.a	a.mel	Convolvulus arvensis	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BERG	6	medium	b	173	29929	apidae	apis	ori.v	a.mel	Origanum vulgare	Apis mellifera
BLAN	1	medium	b	94	8836	apidae	apis	NA	NA	NA	NA
BLAN	2	medium	b	110	12100	apidae	apis	NA	NA	NA	NA
BLAN	3	medium	b	131	17161	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BLAN	3	medium	b	131	17161	apidae	apis	ger.p	a.mel	Geranium pyrenaicum	Apis mellifera
BLAN	4	medium	b	145	21025	apidae	apis	ger.p	a.mel	Geranium pyrenaicum	Apis mellifera
BLAN	4	medium	b	145	21025	apidae	apis	ger.p	a.mel	Geranium pyrenaicum	Apis mellifera
BLAN	4	medium	b	145	21025	apidae	apis	ger.p	a.mel	Geranium pyrenaicum	Apis mellifera
BLAN	4	medium	b	145	21025	apidae	apis	ger.p	a.mel	Geranium pyrenaicum	Apis mellifera
BLAN	5	medium	b	158	24964	apidae	apis	leu.v	a.mel	Leucanthemum vulgare	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	mal.m	a.mel	Malva moschata	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
BLAN	6	medium	b	171	29241	apidae	apis	cen.j	a.mel	Centaurea jacea	Apis mellifera
